13412427	125.47.92.125	8602	41.195.190.147	80	reply	username:clowluc
13412475	41.197.129.165	49961	27.214.70.103	80	reply	username:iokenjpsj
13412504	153.42.23.139	9483	152.229.236.199	80	reply	username:kfmwvhs
13412522	143.121.143.79	17143	148.153.198.89	80	request	cookie:yiepqobop
13412705	36.181.133.213	29990	236.244.74.191	80	reply	username:iupqeyyko
13412758	5.147.133.143	59038	205.156.48.199	80	request	cookie:pxgnbglj
13412806	226.186.28.46	13405	139.40.53.228	80	reply	username:zgzxmoyvzs
13412863	3.139.107.37	42821	235.180.132.241	80	request	cookie:zftxn
13412880	96.20.140.180	43807	97.125.70.38	80	request	cookie:moxztahjpn
13412937	202.134.155.208	50709	44.234.188.197	80	reply	username:mmkatjbcm
13412958	215.228.227.233	42664	99.3.91.189	80	reply	username:brpzpp
13413231	184.36.237.174	39069	216.118.215.17	80	reply	username:xrnfm
13413280	151.237.120.68	41141	94.69.128.79	80	reply	username:dfjosw
13413299	162.124.102.52	39379	67.110.215.224	80	request	cookie:fvbwcy
13413368	92.130.25.157	23095	250.157.151.197	80	request	cookie:rhgsd
13413454	132.57.118.180	58080	233.105.183.22	80	request	cookie:egswy
13413471	215.228.227.233	2155	34.29.187.124	80	request	cookie:yqzpfjvmpc
13413526	145.153.36.13	55208	230.42.182.215	80	reply	username:qovqaqfcb
13413566	252.160.63.29	53432	60.255.229.242	80	request	cookie:bxtcsdgh
13413586	132.57.118.180	14832	155.151.76.177	80	reply	username:qxfjsog
13413756	253.104.111.68	8645	154.122.205.204	80	reply	username:yqsaw
13413844	84.148.137.159	30105	133.25.195.152	80	reply	username:opzzgbw
13413919	92.126.192.54	60038	50.217.197.225	80	request	cookie:bqijf
13414012	24.98.248.63	10166	206.42.74.32	80	reply	username:zihuwycxc
13414036	132.57.118.180	57074	76.153.44.190	80	reply	username:shncpzvxk
13414045	42.55.161.60	41393	200.68.127.219	80	reply	username:rpbseadbb
13414052	54.123.238.33	51105	15.13.158.7	80	reply	username:gkdnxud
13414246	202.134.155.208	44123	30.151.227.246	80	request	cookie:qlkneigkro
13414252	24.99.49.161	61223	18.209.66.65	80	request	cookie:ucryfhz
13414266	44.54.150.247	1723	244.111.14.136	80	reply	username:afgjnhl
13414311	92.126.192.54	18710	44.176.189.15	80	request	cookie:youlg
13414394	132.57.118.180	37311	89.14.11.42	80	reply	username:qzduj
13414473	88.59.55.46	61708	166.109.233.249	80	request	cookie:gqjwylc
13414536	253.104.111.68	5044	42.183.19.70	80	reply	username:kheusymyu
13414566	138.18.25.116	44584	146.222.147.163	80	reply	username:emwacj
13414617	139.37.199.165	10423	193.86.70.171	80	reply	username:fbtou
13414627	237.109.162.71	30655	150.24.166.145	80	reply	username:wlrzfd
13414745	57.246.23.141	18361	91.38.246.181	80	request	cookie:llukxu
13414756	202.242.51.140	26096	43.35.58.107	80	request	cookie:zrcyrq
13414764	208.56.70.183	60842	181.127.89.27	80	request	cookie:brfycv
13414829	253.104.111.68	17632	239.238.201.195	80	reply	username:xocmuw
13414853	132.57.118.180	36437	214.168.223.45	80	request	cookie:gkavqzf
13414873	87.85.210.177	5200	61.68.200.216	80	request	cookie:inuzjmb
13414900	76.205.154.192	2257	18.156.99.120	80	reply	username:mjcomdin
13415076	214.43.38.41	10062	239.123.240.46	80	reply	username:bujxiry
13415164	254.88.148.110	27926	192.82.131.236	80	reply	username:caveadus
13415174	179.129.221.26	22269	208.150.138.61	80	request	cookie:qlkneigkro
13415178	70.8.215.124	22450	169.195.105.151	80	reply	username:zsanngwuib
13415187	139.37.199.165	4283	46.232.205.172	80	reply	username:fspvtunbrw
13415270	39.66.93.121	47493	83.244.101.223	80	reply	username:qamjqgi
13415285	91.69.125.35	55810	14.199.193.163	80	request	cookie:lqscdaolcc
13415302	136.180.107.78	42895	158.229.240.173	80	reply	username:jckpxi
